EXPOCODE 316N200310 (316N173_2)  WHP-ID A22      CRUISE DATES 102303 TO 111503    20050523SIOWHPOSA                                                                                                            
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    TCO2  ALKALI    CCL4          QUALT1
                                            DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG PMOL/KG                               
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                               
       1       1      36      36     2.5     2.5 28.9049 36.7192   194.6 28.9043 36.7123   193.6    0.50    0.10    0.00    0.02   1.615   0.993   0.119  2050.1    -9.0  -9.000 222222222222299
       1       1      35      35     2.5     2.5 28.9053 36.7192   194.6 28.9047 36.7127   193.1    0.38    0.05    0.00    0.02   1.532   0.934   0.090    -9.0    -9.0   1.557 222222222222992
       1       1      34      34    25.2    25.2 28.8861 36.7163   197.8 28.8800 36.6963   194.2    0.59    0.09    0.00    0.02   1.698   1.046   0.131  2051.4    -9.0  -9.000 222222222222299
       1       1      33      33    25.2    25.2 28.8912 36.7174   197.8 28.8851 36.6877   194.9    0.47    0.09    0.00    0.02   1.615   0.958   0.084    -9.0    -9.0   1.276 222222222222992
       1       1      31      31    50.2    50.2 25.3379 36.7902   194.0 25.3268 36.7935   191.1    0.56    0.08    0.01    0.03   1.817   1.093   0.069    -9.0    -9.0   0.463 222222222222592
       1       1      32      32    50.3    50.3 25.3350 36.7918   194.0 25.3239 36.7956   190.6    0.47    0.13    0.01    0.03   1.914   1.151   0.096  2079.4    -9.0  -9.000 222222222222299
       1       1      29      29    75.3    75.3 23.5288 36.9510   155.2 23.5131 36.9415   159.1    1.16    3.35    0.16    0.21   1.871   1.118   0.049    -9.0    -9.0   0.227 222222222222592
       1       1      30      30    75.4    75.4 23.5322 36.9470   155.2 23.5164 36.9395   159.2    1.16    3.24    0.17    0.20   1.966   1.185   0.083  2118.1    -9.0  -9.000 222222222222299
       1       1      28      28   100.5   100.5 22.4363 36.9228   151.8 22.4160 36.9177   151.4    1.45    5.03    0.03    0.28   2.023   1.206   0.063  2132.0    -9.0  -9.000 222222222222299
       1       1      27      27   100.5   100.5 22.4392 36.9232   151.8 22.4189 36.9177   151.5    1.55    5.03    0.03    0.28   1.935   1.135   0.038    -9.0    -9.0   0.181 222222222222592
       1       1      25      25   125.8   125.8 21.2480 36.8441   143.3 21.2235 36.8389   142.0    2.05    6.77    0.02    0.38   1.984   1.167   0.028    -9.0    -9.0   0.173 222222222222592
       1       1      26      26   125.8   125.8 21.2525 36.8444   143.3 21.2280 36.8373   142.2    2.05    6.78    0.02    0.38   2.088   1.225   0.049  2143.7    -9.0  -9.000 222222222222299
       1       1      24      24   150.6   150.6 20.0959 36.7362   141.6 20.0677 36.7282   137.8    2.55    8.13    0.01    0.45   2.123   1.259   0.032  2150.5    -9.0  -9.000 222222222222299
       1       1      23      23   150.6   150.6 20.0951 36.7362   141.6 20.0669 36.7284   137.6    2.65    8.18    0.01    0.46   2.019   1.172   0.017    -9.0    -9.0   0.168 222222222222592
       1       1      21      21   175.8   175.8 19.1895 36.6234   143.1 19.1576 36.6168   143.6    2.63    8.76    0.01    0.49   2.041   1.180   0.013  2148.1    -9.0   0.199 222222222222292
       1       1      22      22   175.9   175.9 19.1898 36.6235   143.1 19.1579 36.6177   143.8    2.54    8.76    0.01    0.49   2.148   1.246   0.010  2150.4    -9.0  -9.000 222222222222299
       1       1      19      19   200.3   200.3 18.4221 36.5207   143.9 18.3868 36.5123   145.7    2.82    9.58    0.01    0.53   2.070   1.168   0.010  2148.5    -9.0   0.223 222222222222292
       1       1      20      20   200.3   200.3 18.4290 36.5212   143.9 18.3937 36.5147   145.6    2.83    9.58    0.01    0.52   2.169   1.243   0.015  2149.6    -9.0  -9.000 222222222222299
       1       1      17      17   250.9   250.9 16.0267 36.1070   140.0 15.9865 36.1080   139.2    4.65   14.10    0.01    0.82   1.967   1.073   0.013  2160.3    -9.0   0.265 222222222222292
       1       1      18      18   250.9   250.9 16.0195 36.1060   140.0 15.9794 36.1049   139.3    4.55   14.10    0.01    0.82   2.056   1.146   0.047  2162.2    -9.0  -9.000 222222222222299
       1       1      15      15   302.9   302.9 12.5941 35.5241   128.4 12.5529 35.5227   127.0    8.93   21.19    0.01    1.32   1.558   0.829   0.012  2180.2    -9.0   0.300 222222222662292
       1       1      16      16   303.0   303.0 12.5769 35.5219   128.4 12.5358 35.5247   126.8    8.73   21.09    0.01    1.31   1.600   0.854   0.011  2181.9    -9.0  -9.000 222222222222299
       1       1      13      13   399.6   399.6  9.7984 35.0872   117.5  9.7521 35.0870   118.9   13.83   27.03    0.00    1.73   0.986   0.512   0.011  2198.0    -9.0   0.341 222222222222292
       1       1      14      14   399.8   399.8  9.7962 35.0870   117.5  9.7499 35.0870   118.8   13.84   27.01    0.00    1.73   1.020   0.543   0.010  2199.4    -9.0  -9.000 222222222222299
       1       1      11      11   501.1   501.1  8.5199 34.9159   116.4  8.4664 34.9144   119.2   17.00   29.57    0.00    1.93   0.691   0.368   0.007  2206.6    -9.0   0.320 222222222222292
       1       1      12      12   501.2   501.2  8.5207 34.9161   116.4  8.4671 34.9142   119.4   17.01   29.51    0.00    1.92   0.735   0.390   0.004  2207.1    -9.0  -9.000 222222222222299
       1       1       9       9   602.8   602.8  7.8296 34.8462   120.2  7.7679 34.8440   121.2   19.03   30.63    0.00    2.01   0.525   0.288   0.006  2210.0    -9.0   0.291 222222222222292
       1       1      10      10   602.8   602.8  7.8322 34.8464   120.2  7.7705 34.8444   121.3   18.94   30.67    0.00    2.00   0.553   0.292   0.009  2210.6    -9.0  -9.000 222222222666299
       1       1       8       8   701.2   701.2  6.7823 34.7735   127.4  6.7156 34.7710   127.1   22.21   31.83    0.00    2.11   0.287   0.150   0.007  2215.0    -9.0  -9.000 222222222222299
       1       1       7       7   701.2   701.2  6.7785 34.7733   127.4  6.7119 34.7695   127.0   22.40   31.84    0.00    2.11   0.263   0.149   0.006  2215.5    -9.0   0.222 222222222666296
       1       1       5       5   800.0   800.0  6.1812 34.7765   137.9  6.1082 34.7799   136.1   24.04   31.30    0.00    2.09   0.146   0.082   0.006  2213.9    -9.0   0.163 222222222222292
       1       1       6       6   800.0   800.0  6.1815 34.7765   137.9  6.1085 34.7732   136.5   23.94   31.40    0.00    2.09   0.158   0.087   0.001  2214.9    -9.0  -9.000 222222222222299
       1       1       3       3   900.9   900.9  5.5863 34.8561   157.6  5.5074 34.8578   157.7   24.64   28.61    0.00    1.94   0.083   0.054   0.006  2218.5    -9.0   0.133 222222222222392
       1       1       4       4   901.0   901.0  5.5866 34.8561   158.0  5.5077 34.8576   157.7   24.65   28.65    0.00    1.94   0.093   0.056   0.001  2210.4    -9.0  -9.000 222222222222299
       1       1       1       1   975.1   975.1  5.1859 34.9076   172.1  5.1028 34.9052   173.2   25.34   26.57    0.01    1.81   0.061   0.042   0.005  2204.6    -9.0   0.133 222222222222292
       1       1       2       2   975.5   975.5  5.1826 34.9080   172.1  5.0995 34.9077   173.1   25.35   26.62    0.00    1.81   0.071   0.038   0.000  2205.8    -9.0  -9.000 222222222222299
       2       1      10      10     3.0     3.0 28.7371 36.5507   114.2 28.7363 36.5444   195.7    0.80    0.17    0.00    0.03   1.665   1.040   0.139  2040.8  2400.4  -9.000 222222222222269
       2       1       9       9    25.5    25.5 28.1445 36.5531   200.1 28.1385 36.5531   197.5    1.01    0.17    0.00    0.03   1.726   1.062   0.147  2043.3  2400.4  -9.000 222222222222229
       2       1       8       8    50.5    50.5 26.0592 36.7163   192.6 26.0478 36.7082   193.9    0.81    0.17    0.01    0.03   1.845   1.124   0.141  2060.9  2396.3  -9.000 222222222222229
